root;fsync;synchronousCommit;fullPageWrites;trackActivities;trackCounts;sharedBuffers_64;sharedBuffers_128;sharedBuffers_256;sharedBuffers;tempBuffers_2;tempBuffers_8;tempBuffers_32;tempBuffers;workMem_256;workMem_1024;workMem_4096;workMem;revision;performance;cpu
1;0;0;1;0;1;0;1;0;1;1;0;0;1;0;0;1;1;8.3.0;55626.8;2.914681
1;0;0;1;0;1;0;0;1;1;1;0;0;1;0;0;1;1;8.3.0;56692.8;2.780772
1;0;0;1;0;1;1;0;0;1;0;1;0;1;0;0;1;1;8.3.0;56545.8;2.82509
1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;8.3.0;55600.2;2.859516
1;0;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;8.3.0;56793.8;2.870703
1;0;0;1;0;1;1;0;0;1;0;0;1;1;0;0;1;1;8.3.0;56761.6;2.812329
1;0;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;8.3.0;56353.6;2.82709
1;0;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;1;8.3.0;55912.4;2.844258
1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;0;0;1;8.3.0;57530.2;3.263539
1;0;0;1;1;0;0;1;0;1;1;0;0;1;1;0;0;1;8.3.0;57393.6;3.218068
1;0;0;1;1;0;0;0;1;1;1;0;0;1;1;0;0;1;8.3.0;57159.8;2.908808
1;0;0;1;1;0;1;0;0;1;0;1;0;1;1;0;0;1;8.3.0;57317.2;2.877221
1;0;0;1;1;0;0;1;0;1;0;1;0;1;1;0;0;1;8.3.0;57346.2;2.909063
1;0;0;1;1;0;0;0;1;1;0;1;0;1;1;0;0;1;8.3.0;57547.4;2.868738
1;0;0;1;1;0;1;0;0;1;0;0;1;1;1;0;0;1;8.3.0;57520.2;2.843414
1;0;0;1;1;0;0;1;0;1;0;0;1;1;1;0;0;1;8.3.0;57895.8;2.921132
1;0;0;1;1;0;0;0;1;1;0;0;1;1;1;0;0;1;8.3.0;57163.8;2.87906
1;0;0;1;1;0;1;0;0;1;1;0;0;1;0;1;0;1;8.3.0;57683.6;2.854074
1;0;0;1;1;0;0;1;0;1;1;0;0;1;0;1;0;1;8.3.0;57980.8;2.858987
1;0;0;1;1;0;0;0;1;1;1;0;0;1;0;1;0;1;8.3.0;57417.4;2.847966
1;0;0;1;1;0;1;0;0;1;0;1;0;1;0;1;0;1;8.3.0;57840.8;2.871181
1;0;0;1;1;0;0;1;0;1;0;1;0;1;0;1;0;1;8.3.0;57435.2;2.881
1;0;0;1;1;0;0;0;1;1;0;1;0;1;0;1;0;1;8.3.0;56508.4;2.91287
1;0;0;1;1;0;1;0;0;1;0;0;1;1;0;1;0;1;8.3.0;57191.2;2.892426
1;0;0;1;1;0;0;1;0;1;0;0;1;1;0;1;0;1;8.3.0;57526.8;2.947572
1;0;0;1;1;0;0;0;1;1;0;0;1;1;0;1;0;1;8.3.0;57088.2;2.959098
1;0;0;1;1;0;1;0;0;1;1;0;0;1;0;0;1;1;8.3.0;57020.6;2.841416
1;0;0;1;1;0;0;1;0;1;1;0;0;1;0;0;1;1;8.3.0;57415;2.886698
1;0;0;1;1;0;0;0;1;1;1;0;0;1;0;0;1;1;8.3.0;57062.6;2.915228
1;0;0;1;1;0;1;0;0;1;0;1;0;1;0;0;1;1;8.3.0;56351;2.89759
1;0;0;1;1;0;0;1;0;1;0;1;0;1;0;0;1;1;8.3.0;57710.4;2.871574
1;0;0;1;1;0;0;0;1;1;0;1;0;1;0;0;1;1;8.3.0;57050.2;2.929865
1;0;0;1;1;0;1;0;0;1;0;0;1;1;0;0;1;1;8.3.0;56505.6;2.895688
1;0;0;1;1;0;0;1;0;1;0;0;1;1;0;0;1;1;8.3.0;57598.8;2.898214
1;0;0;1;1;0;0;0;1;1;0;0;1;1;0;0;1;1;8.3.0;57063;2.910684
1;0;0;1;1;1;1;0;0;1;1;0;0;1;1;0;0;1;8.3.0;56718.8;2.930446
1;0;0;1;1;1;0;1;0;1;1;0;0;1;1;0;0;1;8.3.0;57273.2;2.905661
1;0;0;1;1;1;0;0;1;1;1;0;0;1;1;0;0;1;8.3.0;57995.6;2.962258
1;0;0;1;1;1;1;0;0;1;0;1;0;1;1;0;0;1;8.3.0;56810.8;2.941262
1;0;0;1;1;1;0;1;0;1;0;1;0;1;1;0;0;1;8.3.0;57416.8;2.929323
1;0;0;1;1;1;0;0;1;1;0;1;0;1;1;0;0;1;8.3.0;57787;2.886435
1;0;0;1;1;1;1;0;0;1;0;0;1;1;1;0;0;1;8.3.0;57437.2;2.906323
1;0;0;1;1;1;0;1;0;1;0;0;1;1;1;0;0;1;8.3.0;56754.8;3.052738
1;0;0;1;1;1;0;0;1;1;0;0;1;1;1;0;0;1;8.3.0;57141.6;2.881088
1;0;0;1;1;1;1;0;0;1;1;0;0;1;0;1;0;1;8.3.0;57396.4;2.90325
1;0;0;1;1;1;0;1;0;1;1;0;0;1;0;1;0;1;8.3.0;56837;2.912443
1;0;0;1;1;1;0;0;1;1;1;0;0;1;0;1;0;1;8.3.0;57147.6;2.89281
1;0;0;1;1;1;1;0;0;1;0;1;0;1;0;1;0;1;8.3.0;57099.4;2.882134
1;0;0;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;8.3.0;57048.8;2.885588
1;0;0;1;1;1;0;0;1;1;0;1;0;1;0;1;0;1;8.3.0;57291;2.946495
1;0;0;1;1;1;1;0;0;1;0;0;1;1;0;1;0;1;8.3.0;56363.2;2.903506
1;0;0;1;1;1;0;1;0;1;0;0;1;1;0;1;0;1;8.3.0;57104.8;2.884147
1;0;0;1;1;1;0;0;1;1;0;0;1;1;0;1;0;1;8.3.0;57480.4;2.861144
1;0;0;1;1;1;1;0;0;1;1;0;0;1;0;0;1;1;8.3.0;56356.4;2.920664
1;0;0;1;1;1;0;1;0;1;1;0;0;1;0;0;1;1;8.3.0;57458.2;2.87472
1;0;0;1;1;1;0;0;1;1;1;0;0;1;0;0;1;1;8.3.0;57458.6;2.873542
1;0;0;1;1;1;1;0;0;1;0;1;0;1;0;0;1;1;8.3.0;57306.4;2.92473
1;0;0;1;1;1;0;1;0;1;0;1;0;1;0;0;1;1;8.3.0;57374.2;2.923903
1;0;0;1;1;1;0;0;1;1;0;1;0;1;0;0;1;1;8.3.0;57257;2.929253
1;0;0;1;1;1;1;0;0;1;0;0;1;1;0;0;1;1;8.3.0;56165.8;2.943414
1;0;0;1;1;1;0;1;0;1;0;0;1;1;0;0;1;1;8.3.0;57888.4;2.905857
1;0;0;1;1;1;0;0;1;1;0;0;1;1;0;0;1;1;8.3.0;57429.4;2.893635
1;0;1;0;0;0;1;0;0;1;1;0;0;1;1;0;0;1;8.3.0;55879;2.821988
1;0;1;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;8.3.0;55730;2.835364
1;0;1;0;0;0;0;0;1;1;1;0;0;1;1;0;0;1;8.3.0;56638.2;2.870163
1;0;1;0;0;0;1;0;0;1;0;1;0;1;1;0;0;1;8.3.0;56132.8;2.809934
1;0;1;0;0;0;0;1;0;1;0;1;0;1;1;0;0;1;8.3.0;55544.4;2.855554
1;0;1;0;0;0;0;0;1;1;0;1;0;1;1;0;0;1;8.3.0;56244.6;2.845723
1;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;0;1;8.3.0;56090.6;2.854961
1;0;1;0;0;0;0;1;0;1;0;0;1;1;1;0;0;1;8.3.0;55767.2;2.837926
1;0;1;0;0;0;0;0;1;1;0;0;1;1;1;0;0;1;8.3.0;56287.2;2.834978
1;0;1;0;0;0;1;0;0;1;1;0;0;1;0;1;0;1;8.3.0;56465.4;2.885705
1;0;1;0;0;0;0;1;0;1;1;0;0;1;0;1;0;1;8.3.0;56116.4;2.809467
1;0;1;0;0;0;0;0;1;1;1;0;0;1;0;1;0;1;8.3.0;55913.6;2.893509
1;0;1;0;0;0;1;0;0;1;0;1;0;1;0;1;0;1;8.3.0;56204.8;2.835673
