,revision,performance,cpu,benchmark-energy,fixed-energy,benchmark-power,fixed-power
13634,2.3.4,54926.4,6.423865,1748.8,5479.607422,31.832787,22.825144
13635,2.3.4,55121.6,6.180993,1778.4,5570.833011,32.26753,23.136213
13636,2.3.4,55160.4,6.32161,1741.2,5412.674219,31.540507,22.415851
13637,2.3.4,55197.8,6.561545,1766.8,5419.256799,32.0789,22.793182
13638,2.3.4,55271.0,6.302416,1767.2,5418.361276,31.630248,22.408641
13639,2.3.4,55114.8,6.26135,1807.8,5524.087135,32.215784,22.920639
13640,2.3.4,55092.0,6.452491,1759.2,5370.098893,31.73559,22.391485
13641,2.3.4,55124.6,6.213818,1771.4,5416.149923,31.896192,22.512177
13642,2.3.4,54974.4,6.293454,1737.4,5402.984148,31.527869,22.631628
13643,2.3.4,55518.6,6.363636,1824.2,5505.266529,32.667848,22.907312
13644,2.3.4,55250.0,6.039266,1780.8,5521.890374,31.991222,22.939086
13645,2.3.4,55237.4,6.194201,1764.6,5425.073962,31.828133,22.470874
13646,2.3.4,55657.6,6.746188,1803.2,5513.573884,32.320437,22.927384
13647,2.3.4,55147.8,6.027247,1781,5509.320155,32.14183,22.804491
13648,2.3.4,55183.6,6.298545,1760.6,5451.5056,31.920994,22.749546
13649,2.3.4,55306.6,6.420117,1757.2,5418.413364,31.610365,22.639271
13650,2.3.4,62874.0,11.209437,2040.4,5619.064775,32.363137,23.328589
13651,2.3.4,65245.4,12.482699,2094.2,5595.568482,32.037462,23.247873
13652,2.3.4,65783.6,12.796452,2120.6,5534.221905,32.192893,23.21556
13653,2.3.4,60706.2,9.878995,1930.8,5499.828484,31.811633,22.840785
13654,2.3.4,61097.6,10.224096,1990.8,5666.65345,32.40268,23.499603
13655,2.3.4,60534.4,10.10571,1909.2,5481.906356,31.480831,22.874841
13656,2.3.4,61320.0,10.193379,1955.2,5512.113646,31.767434,22.942401
13657,2.3.4,61352.0,10.361158,1977.8,5585.539082,32.022634,23.274375
13658,2.3.4,61135.0,10.432542,1951.6,5519.718898,31.922998,23.087064
13659,2.3.4,68216.4,13.995368,2181.8,5618.826385,31.74259,23.270966
13660,2.3.4,67807.6,13.876093,2152.4,5562.134464,31.935138,23.306209
13661,2.3.4,67388.6,13.697167,2168.2,5643.045157,32.363773,23.731595
13662,2.3.4,66109.4,12.967273,2122,5644.772555,32.188363,23.458177
13663,2.3.4,66399.4,13.362589,2095.6,5573.595567,31.529471,23.227663
13664,2.3.4,66825.8,13.581063,2160,5642.424672,32.254006,23.488426
13665,2.3.4,60848.4,9.888906,1953.4,5541.664023,32.088783,23.119019
13666,2.3.4,61112.2,10.384215,1942.2,5482.074036,31.691264,22.808062
13667,2.3.4,61546.4,10.540511,1965.2,5486.374241,31.747329,22.886257
13668,2.3.4,61517.4,10.354309,1976.4,5550.516852,32.067721,23.234723
13669,2.3.4,60694.4,10.119644,1950.2,5560.492048,32.17429,23.129952
13670,2.3.4,60520.0,10.218874,1912.8,5467.288039,31.718249,22.993422
13671,2.3.4,61432.0,10.336603,1941,5458.077695,31.725103,22.858515
13672,2.3.4,61254.0,10.373792,1941.4,5528.352907,31.96359,23.183656
13673,2.3.4,61053.0,10.42215,1979.6,5563.414333,32.375595,23.404252
13674,2.3.4,60491.0,9.856521,1918.6,5478.726783,31.662288,22.806863
13675,2.3.4,60882.0,10.306882,1953.6,5572.269642,31.981956,23.226079
13676,2.3.4,60229.8,9.780476,1883.6,5510.558461,31.259921,22.865145
13677,2.3.4,63060.4,11.23603,2024,5606.022638,32.124669,23.361175
13678,2.3.4,61787.6,10.655294,1979.4,5537.284534,32.026476,23.121855
13679,2.3.4,61984.8,10.82853,1969.8,5481.872816,31.660434,22.883467
13680,2.3.4,59699.8,9.321819,1907.2,5500.636851,32.124559,22.935018
13681,2.3.4,60903.8,10.029183,1946.4,5512.968967,32.144127,23.230002
13682,2.3.4,60903.8,10.293361,1932.8,5465.273079,31.845384,22.893455
13683,2.3.4,60701.0,9.782201,1931,5408.289814,31.067979,22.581264
13684,2.3.4,60257.8,9.893666,1939.8,5555.30149,32.071435,23.007589
13685,2.3.4,61402.2,10.34183,1987.4,5613.069289,32.388083,23.383071
13686,2.3.4,65226.2,12.492765,2086.2,5501.026783,31.862355,23.069014
13687,2.3.4,64545.4,12.378557,2068.4,5535.712902,32.08248,23.208377
13688,2.3.4,64162.0,12.225185,2047,5541.635502,31.898412,23.131948
13689,2.3.4,63701.8,11.758492,2067,5604.488685,32.353615,23.442021
13690,2.3.4,63114.0,11.489837,2033.2,5612.334129,32.133607,23.382181
13691,2.3.4,64030.4,11.99079,2052.8,5586.462509,32.170855,23.247817
13692,2.3.4,60168.0,9.664842,1883.8,5493.252748,31.4981,23.063369
13693,2.3.4,60932.0,10.065396,1952.8,5596.69135,32.150396,23.420815
13694,2.3.4,61345.6,10.399257,1958,5530.37748,31.996907,23.080129
13695,2.3.4,61300.2,10.164333,1940.4,5499.586205,31.659788,23.051946
13696,2.3.4,60753.0,10.16428,1932.6,5572.412623,31.888475,23.281361
13697,2.3.4,61442.2,10.349487,1950.6,5502.091163,31.516922,22.822745
13698,2.3.4,60896.0,10.127415,1908.2,5404.543946,31.201084,22.503125
