root;twoPass;quality;bestQuality;goodQuality;rtQuality;constantBitrate;autoAltRef;noAltRef;allowResize;threads_1;threads_2;threads_3;threads_4;threads;tokenParts_0;tokenParts_1;tokenParts_2;tokenParts;arnrMaxFrames_0;arnrMaxFrames_5;arnrMaxFrames_15;arnrMaxFrames;arnrStrength_0;arnrStrength_3;arnrStrength_6;arnrStrength;revision;performance;size;energy;cpu
1;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;1;1;1;0;0;1;v0.9.1;0.014156;0.018261;0.02924;0.04239
1;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;1;1;1;0;0;1;v0.9.1;0.037757;0.024786;0.053892;0.058823
1;0;1;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;1;v0.9.1;0.001363;0;0.024287;0.066753
1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;0;1;0;1;v0.9.1;0.017386;0.024326;0.022327;0.046734
1;0;1;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;0;1;0;1;v0.9.1;0.015121;0.022493;0.043559;0.027806
1;0;1;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;0;1;0;1;v0.9.1;0.022647;0.021745;0.053666;0.049297
1;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0;1;1;0;0;1;0;1;0;1;v0.9.1;0.000994;0;0.040404;0.068116
1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;0;1;0;1;v0.9.1;0.017582;0.024059;0.060786;0.04189
1;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0;1;1;0;0;1;0;1;0;1;v0.9.1;0.012825;0.01844;0.030216;0.020457
1;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;1;1;0;0;1;0;1;0;1;v0.9.1;0.015928;0.022649;0.045686;0.040102
1;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;1;1;0;0;1;0;1;0;1;v0.9.1;0.002894;0;0.021219;0.066414
1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;1;1;0;0;1;0;1;0;1;v0.9.1;0.019398;0.021462;0.059478;0.066597
1;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;1;1;0;0;1;0;1;0;1;v0.9.1;0.019276;0.020972;0.017283;0.057616
1;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;1;1;0;0;1;0;1;0;1;v0.9.1;0.003219;0.003063;0.03838;0.041985
1;0;1;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0;1;0;1;0;1;0;1;0;1;v0.9.1;0.001938;0;0.046;0.037362
1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;1;0;1;0;1;0;1;0;1;v0.9.1;0.016003;0.024099;0.025611;0.059575
1;0;1;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;1;0;1;0;1;0;1;0;1;v0.9.1;0.016468;0.023707;0.036553;0.029665
